PE UV                   SPECTRUM    ASCII       PEDS        1.60        ,
-1,
0-6MB.SP,
02/09/2024,
59:25.0,
02/09/2024,
21:16.0,
,
,
200,
1,
,
,
,
,
,
,
,
,
,
4444,
,
SCAN,
1,
1,
,
,
0,
240,
1,
MANUAL,
,
,
,
UV/VIS,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
#HDR,
-1,
-1,
#GR,
NM,
A,
1.19209E-07,
0,
800,
6,
101,
8,
2.93624,
0.00177,
#DATA,
800,0.00177
794,0.00184
788,0.00203
782,0.00194
776,0.00198
770,0.00208
764,0.00215
758,0.00217
752,0.00212
746,0.0022
740,0.00221
734,0.00221
728,0.00218
722,0.00221
716,0.00218
710,0.0024
704,0.00234
698,0.00233
692,0.00241
686,0.00245
680,0.00261
674,0.00247
668,0.00265
662,0.00258
656,0.00259
650,0.00271
644,0.00277
638,0.00292
632,0.00305
626,0.00316
620,0.00327
614,0.00346
608,0.00359
602,0.00357
596,0.0039
590,0.00402
584,0.00414
578,0.00418
572,0.0045
566,0.00476
560,0.00493
554,0.00525
548,0.00557
542,0.00591
536,0.00628
530,0.00665
524,0.00722
518,0.00756
512,0.0082
506,0.00863
500,0.00953
494,0.01
488,0.01087
482,0.01158
476,0.01252
470,0.01352
464,0.0143
458,0.0153
452,0.01636
446,0.01761
440,0.01867
434,0.01973
428,0.02112
422,0.02248
416,0.02415
410,0.02557
404,0.02785
398,0.02996
392,0.03296
386,0.03578
380,0.04015
374,0.04274
368,0.04792
362,0.05398
356,0.06059
350,0.06743
344,0.07524
338,0.08491
332,0.09486
326,0.10642
320,0.11895
314,0.13502
308,0.15522
302,0.18058
296,0.20623
290,0.23013
284,0.25201
278,0.27007
272,0.2674
266,0.25819
260,0.25656
254,0.26908
248,0.2955
242,0.34614
236,0.46028
230,0.706709
224,1.13904
218,1.71794
212,2.31353
206,2.71674
200,2.93624
