PE UV                   SPECTRUM    ASCII       PEDS        1.60        ,
-1,
1-5ML.SP,
02/09/2024,
46:53.0,
02/09/2024,
59:27.0,
,
,
200,
1,
,
,
,
,
,
,
,
,
,
4444,
,
SCAN,
1,
1,
,
,
0,
240,
1,
MANUAL,
,
,
,
UV/VIS,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
#HDR,
-1,
-1,
#GR,
NM,
A,
1.19209E-07,
0,
800,
6,
101,
8,
3.78945,
-0.00029,
#DATA,
800,-0.00029
794,-0.00003
788,-0.00006
782,-0.00011
776,0.00001
770,0.00002
764,-0.00002
758,-0.00003
752,0.0001
746,0.00023
740,0.00019
734,0.00016
728,0.00022
722,0.0003
716,0.0004
710,0.00041
704,0.00053
698,0.00069
692,0.00088
686,0.000889
680,0.00116
674,0.00117
668,0.00142
662,0.00166
656,0.00199
650,0.00218
644,0.00241
638,0.00257
632,0.00275
626,0.00287
620,0.00289
614,0.00322
608,0.00343
602,0.00352
596,0.00382
590,0.00407
584,0.00435
578,0.00462
572,0.00503
566,0.00566
560,0.00583
554,0.00665
548,0.00727
542,0.00805
536,0.00868
530,0.009509
524,0.01048
518,0.01138
512,0.01256
506,0.01366
500,0.01517
494,0.0164
488,0.01794
482,0.01951
476,0.02124
470,0.02321
464,0.02511
458,0.02722
452,0.02918
446,0.0316
440,0.03375
434,0.03636
428,0.0388
422,0.04179
416,0.04508
410,0.04867
404,0.05302
398,0.0575
392,0.06319
386,0.06948
380,0.07794
374,0.08575
368,0.09549
362,0.10658
356,0.12091
350,0.1371
344,0.15457
338,0.17415
332,0.19427
326,0.21822
320,0.24434
314,0.2784
308,0.32145
302,0.37579
296,0.43164
290,0.48469
284,0.53643
278,0.58105
272,0.58244
266,0.56587
260,0.56029
254,0.58145
248,0.63043
242,0.73347
236,0.97128
230,1.48765
224,2.36287
218,3.28511
212,3.64163
206,3.78945
200,3.70693
