PE UV                   SPECTRUM    ASCII       PEDS        1.60        ,
-1,
0-8MLB.SP,
02/09/2024,
40:49.0,
02/09/2024,
59:11.0,
,
,
200,
1,
,
,
,
,
,
,
,
,
,
4444,
,
SCAN,
1,
1,
,
,
0,
240,
1,
MANUAL,
,
,
,
UV/VIS,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
#HDR,
-1,
-1,
#GR,
NM,
A,
1.19209E-07,
0,
800,
6,
101,
8,
3.38958,
-0.000889,
#DATA,
800,-0.00082
794,-0.000889
788,-0.00086
782,-0.00077
776,-0.0005
770,-0.00053
764,-0.00034
758,-0.00035
752,-0.00021
746,-0.00004
740,0
734,0.00006
728,-0.00003
722,-0.00004
716,-0.00005
710,-0.0002
704,-0.00016
698,-0.00017
692,-0.0001
686,-0.00018
680,-0.00009
674,-0.00013
668,-0.00014
662,-0.00008
656,0.00018
650,0.00021
644,0.00033
638,0.00042
632,0.00059
626,0.00076
620,0.00074
614,0.001
608,0.0012
602,0.00134
596,0.00148
590,0.00172
584,0.00194
578,0.00206
572,0.0023
566,0.00266
560,0.00274
554,0.00317
548,0.00359
542,0.00396
536,0.00442
530,0.00495
524,0.00549
518,0.00598
512,0.00673
506,0.00746
500,0.008359
494,0.00915
488,0.01017
482,0.01127
476,0.01224
470,0.01354
464,0.0147
458,0.01612
452,0.01724
446,0.01888
440,0.02031
434,0.02187
428,0.0236
422,0.02497
416,0.02718
410,0.0294
404,0.03202
398,0.03476
392,0.0384
386,0.04239
380,0.04744
374,0.05174
368,0.05904
362,0.066379
356,0.074759
350,0.08534
344,0.09634
338,0.11
332,0.12262
326,0.13818
320,0.15502
314,0.1771
308,0.20483
302,0.24074
296,0.277
290,0.3119
284,0.34519
278,0.3742
272,0.37491
266,0.36363
260,0.3597
254,0.37329
248,0.40516
242,0.47144
236,0.62622
230,0.96483
224,1.55678
218,2.32437
212,2.99936
206,3.33446
200,3.38958
